  (0 4 | 4 0) -> (4|10) -> (20) =   0.02447741225810
  (0 4 | 0 4) -> (4|4) -> (14) =   0.02447741225810
  (2 2 | 1 0) -> (5|1) -> (16) =   0.25668398581010
  (2 2 | 1 0) -> (5|1) -> (16) =   0.25668398581010
  (2 2 | 0 1) -> (5|1) -> (16) =   0.25668398581010
  (2 2 | 0 1) -> (5|1) -> (16) =   0.25668398581010
  (1 0 | 2 2) -> (1|5) -> (6) =   0.25668398581010
  (1 0 | 2 2) -> (1|5) -> (6) =   0.25668398581010
  (0 1 | 2 2) -> (1|5) -> (6) =   0.25668398581010
  (0 1 | 2 2) -> (1|5) -> (6) =   0.25668398581010
  (3 3 | 1 0) -> (9|1) -> (46) =   0.25668398581010
  (3 3 | 1 0) -> (9|1) -> (46) =   0.25668398581010
  (3 3 | 0 1) -> (9|1) -> (46) =   0.25668398581010
  (3 3 | 0 1) -> (9|1) -> (46) =   0.25668398581010
  (1 0 | 3 3) -> (1|9) -> (10) =   0.25668398581010
  (1 0 | 3 3) -> (1|9) -> (10) =   0.25668398581010
  (0 1 | 3 3) -> (1|9) -> (10) =   0.25668398581010
  (0 1 | 3 3) -> (1|9) -> (10) =   0.25668398581010
  (4 4 | 1 0) -> (14|1) -> (106) =   0.25668398581010
  (4 4 | 1 0) -> (14|1) -> (106) =   0.25668398581010
  (4 4 | 0 1) -> (14|1) -> (106) =   0.25668398581010
  (4 4 | 0 1) -> (14|1) -> (106) =   0.25668398581010
  (1 0 | 4 4) -> (1|14) -> (15) =   0.25668398581010
  (1 0 | 4 4) -> (1|14) -> (15) =   0.25668398581010
  (0 1 | 4 4) -> (1|14) -> (15) =   0.25668398581010
  (0 1 | 4 4) -> (1|14) -> (15) =   0.25668398581010
  (2 1 | 2 0) -> (4|3) -> (13) =   0.03780860741636
  (1 2 | 2 0) -> (3|3) -> (9) =   0.03780860741636
  (2 1 | 0 2) -> (4|2) -> (12) =   0.03780860741636
  (1 2 | 0 2) -> (3|2) -> (8) =   0.03780860741636
  (2 0 | 2 1) -> (3|4) -> (10) =   0.03780860741636
